read,domain,e-value
M00595:42:000000000-A5J1T:1:1103:20851:7493;sample=PMRS0073.MID05-06.P1.apr13;size=1;,DBLa0.11,3.4e-56
M00595:42:000000000-A5J1T:1:2104:14396:5338;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.7,2.4e-42
M00595:42:000000000-A5J1T:1:1112:20783:14528;sample=PMRS0302.MID22-24.P2.apr13;size=1;,DBLa0.19,2.2e-56
M00595:42:000000000-A5J1T:1:1103:24711:18743;sample=PMRS0065.MID04-06.P2.apr13;size=2;,DBLa0.5,1.2e-52
M00595:42:000000000-A5J1T:1:1102:18344:16601;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.11,4.7e-60
M00595:42:000000000-A5J1T:1:2116:11417:16239;sample=PMRS0222.MID18-18.P1.apr13;size=1;,DBLa0.8,5.1e-53
M00595:42:000000000-A5J1T:1:2106:16975:9023;sample=PMRS0236.MID19-19.P2.apr13;size=4;,DBLa0.24,4.9e-53
M00595:42:000000000-A5J1T:1:1115:12396:6948;sample=PMRS0148.MID11-14.P2.apr13;size=1;,DBLa1.4,2.3e-51
M00595:42:000000000-A5J1T:1:2104:21681:11270;sample=PMRS0167.MID13-15.P2.apr13;size=1;,DBLa0.1,1.8e-56
M00595:42:000000000-A5J1T:1:2104:9440:7910;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.15,4e-54
M00595:42:000000000-A5J1T:1:1112:11449:14470;sample=PMRS0357.MID25-25.P1.apr13;size=1;,DBLa0.11,1.7e-53
M00595:42:000000000-A5J1T:1:2108:23536:12752;sample=PMRS0491.MID32-34.P2.apr13;size=1;,DBLa0.24,1.5e-40
M00595:42:000000000-A5J1T:1:2119:20539:7340;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.21,4.3e-49
M00595:42:000000000-A5J1T:1:2112:22373:12422;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.1,7.5e-50
M00595:42:000000000-A5J1T:1:2109:20545:10479;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.1,9.7e-45
M00595:42:000000000-A5J1T:1:1106:21484:6424;sample=PMRS0320.MID23-25.P1.apr13;size=1;,DBLa0.23,1.8e-50
M00595:42:000000000-A5J1T:1:2101:10226:19548;sample=PMRS0357.MID25-25.P1.apr13;size=1;,DBLa0.9,1.4e-51
M00595:42:000000000-A5J1T:1:1107:13343:20902;sample=PMRS0258.MID20-22.P1.apr13;size=2;,DBLa2,2.1e-44
M00595:42:000000000-A5J1T:1:1116:8569:15168;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.9,1.4e-53
M00595:42:000000000-A5J1T:1:1105:27498:12902;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.13,1.7e-50
M00595:42:000000000-A5J1T:1:1109:15192:12643;sample=PMRS0378.MID25-27.P1.apr13;size=2;,DBLa0.22,9.8e-59
M00595:42:000000000-A5J1T:1:1116:8061:4822;sample=PMRS0433.MID29-30.P1.apr13;size=2;,DBLa0.22,2e-56
M00595:42:000000000-A5J1T:1:2110:19181:4240;sample=PMRS0193.MID16-16.P1.apr13;size=1;,DBLa0.1,5.5e-56
M00595:42:000000000-A5J1T:1:1111:23352:21072;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.9,8.6e-56
M00595:42:000000000-A5J1T:1:2117:14261:13473;sample=PMRS0347.MID24-25.P2.apr13;size=2;,DBLa0.9,6.7e-53
M00595:42:000000000-A5J1T:1:1117:14509:23373;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.9,5.7e-52
M00595:42:000000000-A5J1T:1:2104:11903:8027;sample=PMRS0394.MID26-28.P2.apr13;size=1;,DBLa0.1,8.7e-53
M00595:42:000000000-A5J1T:1:2111:12455:23752;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.4,8e-55
M00595:42:000000000-A5J1T:1:2109:15049:14035;sample=PMRS0384.MID26-26.P1.apr13;size=5;,DBLa0.1,2.7e-62
M00595:42:000000000-A5J1T:1:1104:13345:10072;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.1,1.2e-56
M00595:42:000000000-A5J1T:1:2116:23944:4565;sample=PMRS0129.MID10-11.P1.apr13;size=1;,DBLa0.8,7.2e-54
M00595:42:000000000-A5J1T:1:1117:23333:7946;sample=PMRS0488.MID32-34.P1.apr13;size=2;,DBLa0.6,2e-51
M00595:42:000000000-A5J1T:1:1110:11265:15830;sample=PMRS0098.MID07-08.P1.apr13;size=1;,DBLa0.8,2.9e-53
M00595:42:000000000-A5J1T:1:1104:16335:22184;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.17,1.7e-47
M00595:42:000000000-A5J1T:1:2113:18821:9645;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.8,6.4e-53
M00595:42:000000000-A5J1T:1:1102:18903:10000;sample=PMRS0301.MID22-24.P1.apr13;size=1;,DBLa0.24,9.7e-46
M00595:42:000000000-A5J1T:1:1101:9245:7876;sample=PMRS0541.MID34-36.P2.apr13;size=2;,DBLa1.8,4.9e-57
M00595:42:000000000-A5J1T:1:2112:12525:12206;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.11,4.9e-55
M00595:42:000000000-A5J1T:1:1119:12467:6761;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.13,3.5e-52
M00595:42:000000000-A5J1T:1:1114:12222:4562;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa0.7,2.1e-49
M00595:42:000000000-A5J1T:1:1102:22473:18330;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.19,1.6e-50
M00595:42:000000000-A5J1T:1:1108:18301:14349;sample=PMRS0301.MID22-24.P1.apr13;size=2;,DBLa0.5,1.7e-58
M00595:42:000000000-A5J1T:1:2117:15954:9713;sample=PMRS0208.MID16-19.P2.apr13;size=1;,DBLa0.5,1.8e-59
M00595:42:000000000-A5J1T:1:1113:11460:23962;sample=PMRS0552.MID35-36.P1.apr13;size=1;,DBLa0.8,1.2e-51
M00595:42:000000000-A5J1T:1:2114:19528:13023;sample=PMRS0018.MID02-03.P2.apr13;size=3;,DBLa0.11,1.1e-48
M00595:42:000000000-A5J1T:1:2105:15842:16403;sample=PMRS0100.MID07-08.P2.apr13;size=1;,DBLa0.19,4.7e-58
M00595:42:000000000-A5J1T:1:2116:16618:10108;sample=PMRS0254.MID20-21.P1.apr13;size=1;,DBLa0.11,5.5e-56
M00595:42:000000000-A5J1T:1:2118:13911:8523;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa1.2,1.1e-52
M00595:42:000000000-A5J1T:1:1108:4230:6637;sample=PMRS0320.MID23-25.P1.apr13;size=2;,DBLa0.24,2.8e-52
M00595:42:000000000-A5J1T:1:2104:18066:18468;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.18,1.9e-47
M00595:42:000000000-A5J1T:1:1116:16219:8300;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa0.8,4.5e-49
M00595:42:000000000-A5J1T:1:1112:24749:13918;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.1,2.2e-56
M00595:42:000000000-A5J1T:1:2118:23407:10229;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.17,9.7e-56
M00595:42:000000000-A5J1T:1:1116:13980:8291;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.5,3.4e-54
M00595:42:000000000-A5J1T:1:2119:12128:21747;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.15,3.2e-53
M00595:42:000000000-A5J1T:1:1114:8636:19071;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.1,1.8e-58
M00595:42:000000000-A5J1T:1:1117:16494:10069;sample=PMRS0062.MID04-05.P2.apr13;size=1;,DBLa0.8,4.2e-49
M00595:42:000000000-A5J1T:1:1119:21862:17468;sample=PMRS0051.MID04-05.P1.apr13;size=1;,DBLa0.11,9.5e-57
M00595:42:000000000-A5J1T:1:1114:12009:16893;sample=PMRS0444.MID30-30.P2.apr13;size=1;,DBLa0.1,1.8e-56
M00595:42:000000000-A5J1T:1:2110:11482:8101;sample=PMRS0480.MID32-32.P1.apr13;size=1;,DBLa0.23,3.3e-41
M00595:42:000000000-A5J1T:1:1112:17077:20278;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.1,1.9e-48
M00595:42:000000000-A5J1T:1:2106:20733:12109;sample=PMRS0031.MID03-03.P1.apr13;size=1;,DBLa0.9,7.2e-52
M00595:42:000000000-A5J1T:1:2117:11007:17628;sample=PMRS0457.MID31-31.P1.apr13;size=1;,DBLa0.11,1.2e-57
M00595:42:000000000-A5J1T:1:1105:22650:18427;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.10,1.3e-56
M00595:42:000000000-A5J1T:1:1104:15347:18258;sample=PMRS0206.MID16-18.P2.apr13;size=2;,DBLa0.9,4.6e-55
M00595:42:000000000-A5J1T:1:1111:13650:19219;sample=PMRS0040.MID03-04.P2.apr13;size=8;,DBLa1.8,4e-55
M00595:42:000000000-A5J1T:1:1105:19430:17032;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.8,1.3e-49
M00595:42:000000000-A5J1T:1:2109:26065:19801;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.19,7.8e-54
M00595:42:000000000-A5J1T:1:1118:20938:9132;sample=PMRS0301.MID22-24.P1.apr13;size=3;,DBLa0.8,1e-52
M00595:42:000000000-A5J1T:1:2112:10483:18201;sample=PMRS0390.MID26-27.P2.apr13;size=1;,DBLa0.9,9.2e-54
M00595:42:000000000-A5J1T:1:1118:5130:8178;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.11,6e-56
M00595:42:000000000-A5J1T:1:2116:14975:19132;sample=PMRS0436.MID29-30.P2.apr13;size=1;,DBLa0.1,2.2e-47
M00595:42:000000000-A5J1T:1:2104:16693:18601;sample=PMRS0064.MID04-06.P1.apr13;size=1;,DBLa0.1,9.3e-48
M00595:42:000000000-A5J1T:1:1116:7568:11290;sample=PMRS0423.MID28-28.P2.apr13;size=5;,DBLa0.1,6.8e-60
M00595:42:000000000-A5J1T:1:1110:20753:3313;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.1,2e-58
M00595:42:000000000-A5J1T:1:1111:5583:13014;sample=PMRS0457.MID31-31.P1.apr13;size=2;,DBLa0.4,3.7e-51
M00595:42:000000000-A5J1T:1:1112:19371:15517;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.5,9.8e-59
M00595:42:000000000-A5J1T:1:1104:20821:20396;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.8,4.2e-50
M00595:42:000000000-A5J1T:1:2116:16534:17393;sample=PMRS0002.MID01-01.P1.apr13;size=1;,DBLa0.17,1e-53
M00595:42:000000000-A5J1T:1:1101:11169:14161;sample=PMRS0393.MID26-28.P1.apr13;size=11;,DBLa0.9,1.9e-49
M00595:42:000000000-A5J1T:1:2109:18648:20418;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.11,5.5e-57
M00595:42:000000000-A5J1T:1:2104:27414:18679;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.5,1.3e-58
M00595:42:000000000-A5J1T:1:2114:23533:10040;sample=PMRS0476.MID31-33.P2.apr13;size=1;,DBLa0.22,3.5e-56
M00595:42:000000000-A5J1T:1:1102:11777:23660;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.11,8.9e-60
M00595:42:000000000-A5J1T:1:1104:22956:19952;sample=PMRS0182.MID15-15.P2.apr13;size=1;,DBLa0.8,2.4e-51
M00595:42:000000000-A5J1T:1:1104:8743:5392;sample=PMRS0113.MID08-11.P1.apr13;size=1;,DBLa0.8,1.3e-56
M00595:42:000000000-A5J1T:1:2115:22836:13343;sample=PMRS0065.MID04-06.P2.apr13;size=3;,DBLa0.10,1.4e-47
M00595:42:000000000-A5J1T:1:2114:15316:3530;sample=PMRS0148.MID11-14.P2.apr13;size=1;,DBLa0.22,1.2e-53
M00595:42:000000000-A5J1T:1:2114:15935:4453;sample=PMRS0027.MID02-04.P2.apr13;size=1;,DBLa0.11,1.6e-57
M00595:42:000000000-A5J1T:1:1111:17466:2591;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa1.8,6.7e-58
M00595:42:000000000-A5J1T:1:1117:6425:18658;sample=PMRS0471.MID31-32.P2.apr13;size=1;,DBLa0.17,1.2e-58
M00595:42:000000000-A5J1T:1:1110:11687:17258;sample=PMRS0378.MID25-27.P1.apr13;size=3;,DBLa0.8,4.5e-56
M00595:42:000000000-A5J1T:1:2101:13217:18309;sample=PMRS0354.MID24-26.P2.apr13;size=1;,DBLa1.8,3.4e-53
M00595:42:000000000-A5J1T:1:1112:13663:7597;sample=PMRS0264.MID21-21.P1.apr13;size=1;,DBLa0.18,1e-51
M00595:42:000000000-A5J1T:1:2109:27038:7382;sample=PMRS0423.MID28-28.P2.apr13;size=4;,DBLa0.3,1e-47
M00595:42:000000000-A5J1T:1:1106:10673:18792;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.22,2.8e-54
M00595:42:000000000-A5J1T:1:2111:15114:6563;sample=PMRS0062.MID04-05.P2.apr13;size=1;,DBLa0.8,1.9e-52
M00595:42:000000000-A5J1T:1:1112:24904:10379;sample=PMRS0552.MID35-36.P1.apr13;size=1;,DBLa0.22,1.9e-52
M00595:42:000000000-A5J1T:1:2115:19171:13260;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.5,5e-54
M00595:42:000000000-A5J1T:1:1103:27564:10105;sample=PMRS0181.MID15-15.P1.apr13;size=2;,DBLa0.9,1.3e-53
M00595:42:000000000-A5J1T:1:2119:11820:23860;sample=PMRS0506.MID33-35.P2.apr13;size=2;,DBLa0.1,1.1e-52
M00595:42:000000000-A5J1T:1:2117:10448:18945;sample=PMRS0290.MID21-23.P2.apr13;size=2;,DBLa0.8,1.9e-55
M00595:42:000000000-A5J1T:1:2113:13856:21179;sample=PMRS0121.MID10-10.P2.apr13;size=5;,DBLa0.4,2.3e-50
M00595:42:000000000-A5J1T:1:1104:15533:5132;sample=PMRS0293.MID22-22.P2.apr13;size=1;,DBLa0.1,1.1e-56
M00595:42:000000000-A5J1T:1:2113:16971:21387;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.11,6.1e-61
M00595:42:000000000-A5J1T:1:2114:12442:5888;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.6,4.8e-52
M00595:42:000000000-A5J1T:1:2103:12080:7265;sample=PMRS0138.MID10-13.P2.apr13;size=1;,DBLa0.1,1.8e-53
M00595:42:000000000-A5J1T:1:2107:20356:8093;sample=PMRS0013.MID02-02.P2.apr13;size=1;,DBLa0.24,3.3e-48
M00595:42:000000000-A5J1T:1:1111:17186:24394;sample=PMRS0389.MID26-27.P1.apr13;size=5;,DBLa1.8,3.7e-55
M00595:42:000000000-A5J1T:1:2118:18371:11337;sample=PMRS0506.MID33-35.P2.apr13;size=11;,DBLa0.1,2.8e-54
M00595:42:000000000-A5J1T:1:2102:18122:4742;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.1,2.2e-52
M00595:42:000000000-A5J1T:1:1114:25131:19366;sample=PMRS0108.MID08-08.P2.apr13;size=1;,DBLa0.1,4.4e-54
M00595:42:000000000-A5J1T:1:2103:20624:14037;sample=PMRS0544.MID35-35.P1.apr13;size=1;,DBLa0.12,6.2e-58
M00595:42:000000000-A5J1T:1:2119:12885:15838;sample=PMRS0532.MID34-35.P1.apr13;size=1;,DBLa0.8,2.7e-54
M00595:42:000000000-A5J1T:1:1117:10726:13312;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.17,1.4e-54
M00595:42:000000000-A5J1T:1:2105:9497:12793;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.1,8.4e-55
M00595:42:000000000-A5J1T:1:2103:11871:18593;sample=PMRS0378.MID25-27.P1.apr13;size=2;,DBLa0.5,1.2e-51
M00595:42:000000000-A5J1T:1:1110:16920:18602;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.5,6.6e-43
M00595:42:000000000-A5J1T:1:2106:12487:11148;sample=PMRS0347.MID24-25.P2.apr13;size=2;,DBLa0.5,6.3e-62
M00595:42:000000000-A5J1T:1:1104:19061:19108;sample=PMRS0230.MID18-20.P1.apr13;size=1;,DBLa0.5,4.8e-55
M00595:42:000000000-A5J1T:1:1116:5317:13978;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.1,5e-54
M00595:42:000000000-A5J1T:1:2101:10416:11374;sample=PMRS0182.MID15-15.P2.apr13;size=1;,DBLa0.24,3e-44
M00595:42:000000000-A5J1T:1:1114:17924:19958;sample=PMRS0404.MID27-28.P1.apr13;size=1;,DBLa0.19,9.7e-51
M00595:42:000000000-A5J1T:1:2104:7277:4793;sample=PMRS0129.MID10-11.P1.apr13;size=3;,DBLa0.8,6.9e-59
M00595:42:000000000-A5J1T:1:1115:9987:5100;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.1,1.1e-56
M00595:42:000000000-A5J1T:1:1101:13232:7831;sample=PMRS0301.MID22-24.P1.apr13;size=1;,DBLa0.8,1.5e-47
M00595:42:000000000-A5J1T:1:1107:11587:14406;sample=PMRS0065.MID04-06.P2.apr13;size=14;,DBLa1.7,3.1e-47
M00595:42:000000000-A5J1T:1:2117:9676:14873;sample=PMRS0254.MID20-21.P1.apr13;size=2;,DBLa0.12,4.2e-52
M00595:42:000000000-A5J1T:1:1113:8216:14183;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.11,1.1e-59
M00595:42:000000000-A5J1T:1:1112:17672:11669;sample=PMRS0208.MID16-19.P2.apr13;size=1;,DBLa0.5,8.4e-52
M00595:42:000000000-A5J1T:1:1117:10855:10172;sample=PMRS0430.MID29-29.P1.apr13;size=1;,DBLa0.11,2.8e-57
M00595:42:000000000-A5J1T:1:1113:11582:3005;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.1,1e-55
M00595:42:000000000-A5J1T:1:2102:12947:16286;sample=PMRS0279.MID21-22.P2.apr13;size=2;,DBLa0.1,1.5e-57
M00595:42:000000000-A5J1T:1:1114:20966:4450;sample=PMRS0279.MID21-22.P2.apr13;size=3;,DBLa0.18,1.2e-54
M00595:42:000000000-A5J1T:1:2118:17954:11106;sample=PMRS0301.MID22-24.P1.apr13;size=6;,DBLa0.18,1.4e-42
M00595:42:000000000-A5J1T:1:2119:5431:5016;sample=PMRS0354.MID24-26.P2.apr13;size=1;,DBLa0.11,1.3e-59
M00595:42:000000000-A5J1T:1:2109:4511:14630;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.10,8.4e-47
M00595:42:000000000-A5J1T:1:1106:11757:18243;sample=PMRS0307.MID23-24.P1.apr13;size=1;,DBLa0.21,2.4e-54
M00595:42:000000000-A5J1T:1:1117:10049:2773;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.5,6.6e-58
M00595:42:000000000-A5J1T:1:1107:5520:14167;sample=PMRS0018.MID02-03.P2.apr13;size=2;,DBLa0.8,1.1e-50
M00595:42:000000000-A5J1T:1:1104:26526:20773;sample=PMRS0098.MID07-08.P1.apr13;size=1;,DBLa0.11,8.1e-53
M00595:42:000000000-A5J1T:1:1102:18901:12225;sample=PMRS0357.MID25-25.P1.apr13;size=2;,DBLa0.8,4.4e-56
M00595:42:000000000-A5J1T:1:2118:14789:5001;sample=PMRS0412.MID27-29.P2.apr13;size=3;,DBLa0.22,2.9e-56
M00595:42:000000000-A5J1T:1:2107:18057:10994;sample=PMRS0373.MID25-26.P1.apr13;size=2;,DBLa0.2,6.6e-49
M00595:42:000000000-A5J1T:1:1113:16837:18682;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.5,4.9e-51
M00595:42:000000000-A5J1T:1:2113:7872:11669;sample=PMRS0430.MID29-29.P1.apr13;size=1;,DBLa0.19,1.2e-59
M00595:42:000000000-A5J1T:1:2118:26490:7697;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.9,1.6e-53
M00595:42:000000000-A5J1T:1:2106:14301:9481;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.1,1.2e-53
M00595:42:000000000-A5J1T:1:2109:12607:7466;sample=PMRS0493.MID33-33.P1.apr13;size=1;,DBLa0.5,4.3e-55
M00595:42:000000000-A5J1T:1:2105:18351:13309;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.12,3.3e-54
M00595:42:000000000-A5J1T:1:1114:14636:10594;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.5,1.8e-59
M00595:42:000000000-A5J1T:1:1114:17227:22635;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa0.5,1.4e-56
M00595:42:000000000-A5J1T:1:2117:18903:17818;sample=PMRS0290.MID21-23.P2.apr13;size=1;,DBLa0.1,1.4e-49
M00595:42:000000000-A5J1T:1:1116:7593:17126;sample=PMRS0403.MID27-27.P2.apr13;size=4;,DBLa1.8,2.9e-53
M00595:42:000000000-A5J1T:1:1107:8227:23521;sample=PMRS0386.MID26-26.P2.apr13;size=2;,DBLa0.8,1.6e-54
M00595:42:000000000-A5J1T:1:2107:16008:18129;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa0.5,1.7e-54
M00595:42:000000000-A5J1T:1:2105:13635:9813;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa1.8,6.3e-53
M00595:42:000000000-A5J1T:1:1104:21362:19214;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.5,2.2e-54
M00595:42:000000000-A5J1T:1:2108:20420:2919;sample=PMRS0280.MID21-23.P1.apr13;size=1;,DBLa0.10,9.5e-49
M00595:42:000000000-A5J1T:1:1115:17112:8800;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.1,1e-55
M00595:42:000000000-A5J1T:1:2103:27175:18636;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.11,1.6e-48
M00595:42:000000000-A5J1T:1:2102:17432:6056;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.11,4.6e-57
M00595:42:000000000-A5J1T:1:1119:14601:13136;sample=PMRS0182.MID15-15.P2.apr13;size=1;,DBLa0.11,8.1e-58
M00595:42:000000000-A5J1T:1:1119:24342:20162;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.5,3.7e-49
M00595:42:000000000-A5J1T:1:1116:16767:12324;sample=PMRS0118.MID10-10.P1.apr13;size=1;,DBLa1.8,5.6e-53
M00595:42:000000000-A5J1T:1:2112:7617:7525;sample=PMRS0254.MID20-21.P1.apr13;size=2;,DBLa0.8,1.1e-50
M00595:42:000000000-A5J1T:1:1114:12247:4521;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.8,2e-55
M00595:42:000000000-A5J1T:1:1114:16451:8947;sample=PMRS0453.MID30-32.P2.apr13;size=1;,DBLa1.6,2.2e-47
M00595:42:000000000-A5J1T:1:1110:21954:14939;sample=PMRS0512.MID34-34.P1.apr13;size=1;,DBLa0.11,4.6e-58
M00595:42:000000000-A5J1T:1:1105:16301:16737;sample=PMRS0031.MID03-03.P1.apr13;size=3;,DBLa0.3,3.4e-50
M00595:42:000000000-A5J1T:1:1114:20482:8789;sample=PMRS0440.MID29-31.P2.apr13;size=2;,DBLa0.9,5.8e-51
M00595:42:000000000-A5J1T:1:1116:14935:24639;sample=PMRS0430.MID29-29.P1.apr13;size=3;,DBLa1.2,2.3e-50
M00595:42:000000000-A5J1T:1:2103:20098:19134;sample=PMRS0431.MID29-29.P2.apr13;size=2;,DBLa0.8,4e-55
M00595:42:000000000-A5J1T:1:2114:11532:19851;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.11,1.1e-54
M00595:42:000000000-A5J1T:1:1108:3404:9292;sample=PMRS0427.MID28-30.P1.apr13;size=2;,DBLa0.12,2.1e-55
M00595:42:000000000-A5J1T:1:1106:13130:3142;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.3,1.9e-53
M00595:42:000000000-A5J1T:1:2110:21308:14655;sample=PMRS0098.MID07-08.P1.apr13;size=1;,DBLa0.1,1.1e-58
M00595:42:000000000-A5J1T:1:2102:6822:7880;sample=PMRS0079.MID05-07.P2.apr13;size=6;,DBLa1.7,3e-49
M00595:42:000000000-A5J1T:1:2111:20680:2670;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.9,1.6e-49
M00595:42:000000000-A5J1T:1:2114:25639:9096;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa1.7,2.9e-55
M00595:42:000000000-A5J1T:1:2113:16915:6167;sample=PMRS0280.MID21-23.P1.apr13;size=1;,DBLa0.8,2.7e-52
M00595:42:000000000-A5J1T:1:2106:17725:7844;sample=PMRS0493.MID33-33.P1.apr13;size=1;,DBLa0.11,4e-55
M00595:42:000000000-A5J1T:1:2118:7020:17555;sample=PMRS0184.MID15-16.P2.apr13;size=1;,DBLa0.9,7.5e-52
M00595:42:000000000-A5J1T:1:1119:14217:3812;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa0.4,1.2e-53
M00595:42:000000000-A5J1T:1:2113:15305:6685;sample=PMRS0207.MID16-19.P1.apr13;size=1;,DBLa0.24,4e-43
M00595:42:000000000-A5J1T:1:2105:21206:13124;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.8,1.1e-55
M00595:42:000000000-A5J1T:1:2108:20806:22087;sample=PMRS0347.MID24-25.P2.apr13;size=2;,DBLa0.8,2.3e-53
M00595:42:000000000-A5J1T:1:1111:16439:19065;sample=PMRS0064.MID04-06.P1.apr13;size=28;,DBLa0.1,2.6e-58
M00595:42:000000000-A5J1T:1:2112:20921:20706;sample=PMRS0138.MID10-13.P2.apr13;size=1;,DBLa0.9,2.8e-49
M00595:42:000000000-A5J1T:1:1103:9448:12538;sample=PMRS0378.MID25-27.P1.apr13;size=2;,DBLa0.12,3.5e-55
M00595:42:000000000-A5J1T:1:2110:18067:16526;sample=PMRS0191.MID15-18.P1.apr13;size=2;,DBLa0.9,2.3e-54
M00595:42:000000000-A5J1T:1:2104:11936:18063;sample=PMRS0318.MID23-24.P2.apr13;size=1;,DBLa1.2,5.7e-53
M00595:42:000000000-A5J1T:1:1106:18114:9761;sample=PMRS0552.MID35-36.P1.apr13;size=1;,DBLa0.22,1.2e-52
M00595:42:000000000-A5J1T:1:1105:9669:2242;sample=PMRS0065.MID04-06.P2.apr13;size=3;,DBLa0.18,2.7e-51
M00595:42:000000000-A5J1T:1:1118:10335:22876;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.9,4e-54
M00595:42:000000000-A5J1T:1:1119:16918:19300;sample=PMRS0208.MID16-19.P2.apr13;size=1;,DBLa0.3,3e-46
M00595:42:000000000-A5J1T:1:1116:18583:2271;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.8,3.2e-57
M00595:42:000000000-A5J1T:1:1109:13498:15831;sample=PMRS0239.MID19-20.P2.apr13;size=1;,DBLa0.11,3.5e-52
M00595:42:000000000-A5J1T:1:1110:23753:16132;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.15,6.6e-61
M00595:42:000000000-A5J1T:1:1101:11598:6044;sample=PMRS0092.MID07-07.P1.apr13;size=2;,DBLa0.8,2.7e-55
