"otu","num_isolates","domain","e-value","type"
"M00595:42:000000000-A5J1T:1:1118:20884:21027",6,"DBLa0.3",2.9e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1118:20938:9132",3,"DBLa0.8",1e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1118:21009:7769",3,"DBLa0.12",6e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1118:21379:10167",2,"DBLa0.24",2.4e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1118:21407:2190",12,"DBLa1.7",4.7e-49,"A"
"M00595:42:000000000-A5J1T:1:1118:21602:9625",8,"DBLa1.8",3.7e-58,"A"
"M00595:42:000000000-A5J1T:1:1118:21663:19001",10,"DBLa1.4",3.4e-43,"A"
"M00595:42:000000000-A5J1T:1:1118:21861:11195",7,"DBLa0.8",1e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1118:21876:18945",3,"DBLa0.15",1.7e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1118:21919:17486",2,"DBLa0.3",6.9e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1118:22029:19942",3,"DBLa0.13",4.9e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1118:22220:5161",3,"DBLa0.12",1.6e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1118:22326:3182",2,"DBLa0.20",1.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1118:22711:21603",2,"DBLa0.20",2.4e-41,"B/C"
"M00595:42:000000000-A5J1T:1:1118:23676:18393",2,"DBLa0.8",1.3e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1118:23758:6899",2,"DBLa0.12",1.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1118:23762:11551",2,"DBLa0.5",1.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1118:23862:5858",2,"DBLa0.5",1.4e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1118:23921:13937",8,"DBLa0.23",2.6e-42,"B/C"
"M00595:42:000000000-A5J1T:1:1118:24101:4506",3,"DBLa0.8",1.8e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1118:24107:11398",14,"DBLa1.8",9.1e-60,"A"
"M00595:42:000000000-A5J1T:1:1118:24136:12902",2,"DBLa0.5",1.9e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1118:24249:11509",2,"DBLa0.11",1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1118:24324:6154",3,"DBLa0.1",4.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1118:24655:9523",4,"DBLa0.5",3.5e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1118:24831:18372",2,"DBLa0.3",2.8e-42,"B/C"
"M00595:42:000000000-A5J1T:1:1118:25285:18744",4,"DBLa0.15",1.9e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1118:25459:17868",25,"DBLa1.8",4.6e-59,"A"
"M00595:42:000000000-A5J1T:1:1118:25626:10938",3,"DBLa0.5",3.2e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1118:25640:7707",8,"DBLa0.18",8.5e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1118:26083:12108",6,"DBLa0.3",1.8e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1118:26358:10281",3,"DBLa0.4",3.5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1118:26812:18545",2,"DBLa0.23",9.2e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1118:27321:14995",2,"DBLa0.1",1.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1118:28326:13605",4,"DBLa0.8",1.9e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1118:4246:12703",3,"DBLa0.19",4.8e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1118:4486:16187",2,"DBLa0.8",2.8e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1118:4749:5738",3,"DBLa0.24",1.1e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1118:5176:11240",7,"DBLa0.23",1.3e-41,"B/C"
"M00595:42:000000000-A5J1T:1:1118:5405:12881",5,"DBLa1.8",6.6e-58,"A"
"M00595:42:000000000-A5J1T:1:1118:5567:18518",2,"DBLa0.9",1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1118:5600:5220",3,"DBLa0.8",4e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1118:5617:9146",3,"DBLa0.5",4.9e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1118:5768:15353",4,"DBLa0.6",4e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1118:6034:22005",2,"DBLa0.8",3.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1118:6457:8112",2,"DBLa1.8",2.7e-55,"A"
"M00595:42:000000000-A5J1T:1:1118:6461:12738",2,"DBLa0.20",2e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1118:6891:9389",6,"DBLa0.4",2.2e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1118:7054:12845",84,"DBLa1.1",2.6e-59,"A"
"M00595:42:000000000-A5J1T:1:1118:7596:21139",2,"DBLa0.3",9.8e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1118:7667:14092",3,"DBLa0.1",1.4e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1118:7818:12757",14,"DBLa1.5",1.2e-58,"A"
"M00595:42:000000000-A5J1T:1:1118:8185:11776",2,"DBLa0.1",4.7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1118:8546:5896",4,"DBLa0.9",9e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1118:8605:13666",2,"DBLa0.3",3.5e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1118:8751:14795",3,"DBLa0.1",2.9e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1118:8758:10287",4,"DBLa1.2",2.6e-54,"A"
"M00595:42:000000000-A5J1T:1:1118:8792:17122",3,"DBLa0.5",3.3e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1118:9037:10371",3,"DBLa0.8",3.9e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1118:9383:11862",3,"DBLa0.12",3.5e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1118:9457:9668",3,"DBLa0.19",1.4e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1118:9486:11004",3,"DBLa0.18",3.7e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1118:9631:12812",3,"DBLa0.5",1.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1118:9736:16641",12,"DBLa1.8",3e-55,"A"
"M00595:42:000000000-A5J1T:1:1118:9823:21772",2,"DBLa0.4",1.7e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1119:10124:5499",23,"DBLa1.4",3.7e-47,"A"
"M00595:42:000000000-A5J1T:1:1119:10230:7392",2,"DBLa0.22",1.4e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:10360:19558",3,"DBLa1.8",5.1e-54,"A"
"M00595:42:000000000-A5J1T:1:1119:10623:19716",2,"DBLa0.24",1.2e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:10759:12467",2,"DBLa0.5",1.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:10982:19902",3,"DBLa0.1",2.4e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1119:11073:22354",2,"DBLa0.3",4.7e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:11331:7908",2,"DBLa0.8",2.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:11339:10753",4,"DBLa0.3",4.4e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1119:11381:14707",2,"DBLa0.11",4.6e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1119:11492:6023",2,"DBLa1.4",2.3e-44,"A"
"M00595:42:000000000-A5J1T:1:1119:11781:8154",3,"DBLa1.8",8.5e-63,"A"
"M00595:42:000000000-A5J1T:1:1119:11978:19651",2,"DBLa0.11",1.8e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1119:12267:6721",2,"DBLa0.8",5.4e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:12629:16853",3,"DBLa0.11",7.8e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1119:12702:17192",2,"DBLa0.11",1.7e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:12952:15008",2,"DBLa0.5",2.4e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:12977:21571",2,"DBLa0.3",2.2e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1119:13082:4511",2,"DBLa0.19",6.8e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1119:13097:13628",2,"DBLa0.22",1.7e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:13231:19063",3,"DBLa0.11",1.3e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:13371:17493",3,"DBLa0.19",7.3e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:13430:21328",2,"DBLa0.1",1e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:13431:14781",3,"DBLa1.8",2.3e-51,"A"
"M00595:42:000000000-A5J1T:1:1119:13526:9105",2,"DBLa0.8",6.8e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1119:13553:2919",2,"DBLa0.5",3.4e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1119:13689:5403",4,"DBLa0.1",4.8e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:13776:10184",3,"DBLa0.8",6.8e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14132:3492",5,"DBLa0.6",2.2e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14143:16077",2,"DBLa0.14",8e-62,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14217:3812",3,"DBLa0.4",1.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14225:5570",8,"DBLa0.3",5.9e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14259:20134",3,"DBLa1.8",5.4e-58,"A"
"M00595:42:000000000-A5J1T:1:1119:14289:23825",3,"DBLa0.3",1.1e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14406:12462",3,"DBLa0.3",3.1e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14406:22837",4,"DBLa0.11",2.1e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14494:23964",2,"DBLa0.8",9e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14533:22870",3,"DBLa1.8",4.1e-58,"A"
"M00595:42:000000000-A5J1T:1:1119:14547:3525",2,"DBLa0.5",7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14632:14780",2,"DBLa0.11",1.1e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14809:9703",5,"DBLa0.7",2.8e-41,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14833:2087",3,"DBLa0.8",1.4e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14909:13706",8,"DBLa1.8",1.1e-55,"A"
"M00595:42:000000000-A5J1T:1:1119:14914:20886",2,"DBLa0.1",7.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:14929:9884",2,"DBLa0.21",5.2e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15335:8525",2,"DBLa0.3",7.3e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15386:22625",2,"DBLa0.23",5.2e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15404:6034",3,"DBLa0.9",1.6e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15515:7433",2,"DBLa0.9",6.9e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15541:20670",2,"DBLa0.5",3.9e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15645:10952",2,"DBLa0.6",7.7e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15646:15964",2,"DBLa0.1",4.3e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15705:24138",3,"DBLa0.1",1.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15906:15786",3,"DBLa0.24",1.8e-42,"B/C"
"M00595:42:000000000-A5J1T:1:1119:15950:3439",2,"DBLa0.11",3.1e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1119:16076:23426",20,"DBLa0.10",5.3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:16295:5769",2,"DBLa0.8",1.6e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:16309:9861",2,"DBLa0.10",1e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:16474:7177",2,"DBLa0.5",4e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1119:16543:9057",2,"DBLa1.4",1.4e-51,"A"
"M00595:42:000000000-A5J1T:1:1119:16671:10013",3,"DBLa0.4",9.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:16688:20953",2,"DBLa0.8",2.4e-42,"B/C"
"M00595:42:000000000-A5J1T:1:1119:16874:3908",2,"DBLa0.9",7.2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:16932:12762",8,"DBLa0.1",1.9e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17040:20867",2,"DBLa0.1",2.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17119:4308",2,"DBLa0.24",8.7e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17223:5412",6,"DBLa0.8",3.8e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17327:15243",4,"DBLa0.13",2.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17343:4237",2,"DBLa0.8",2.6e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17360:12636",6,"DBLa0.8",6.3e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17416:14747",3,"DBLa0.18",2.4e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17467:9248",3,"DBLa1.2",5.2e-54,"A"
"M00595:42:000000000-A5J1T:1:1119:17474:20286",2,"DBLa0.10",1.4e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17624:5590",8,"DBLa1.8",1.3e-56,"A"
"M00595:42:000000000-A5J1T:1:1119:17685:17147",2,"DBLa0.8",3.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17693:20985",2,"DBLa0.19",4.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17705:21754",3,"DBLa0.17",5.2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17726:4356",2,"DBLa0.9",8.6e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17727:12805",2,"DBLa0.21",7e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17737:18685",3,"DBLa0.5",9.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17746:8423",2,"DBLa0.1",1.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17854:5553",8,"DBLa0.15",1.5e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17901:20056",2,"DBLa0.24",1.4e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1119:17941:19849",4,"DBLa1.2",5.4e-51,"A"
"M00595:42:000000000-A5J1T:1:1119:17979:12659",2,"DBLa0.11",1.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:18335:13937",3,"DBLa0.24",1e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:18381:10713",2,"DBLa0.3",2.4e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:18480:7995",5,"DBLa0.1",2.3e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1119:18596:16851",2,"DBLa0.1",3.6e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1119:18611:6325",2,"DBLa0.5",7.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:18636:23441",2,"DBLa0.22",5.1e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:18637:10913",3,"DBLa0.15",1.1e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1119:18793:23676",7,"DBLa1.8",1.4e-54,"A"
"M00595:42:000000000-A5J1T:1:1119:19016:14741",2,"DBLa0.1",2.3e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19050:21518",3,"DBLa0.15",8.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19100:20767",6,"DBLa1.8",2.1e-52,"A"
"M00595:42:000000000-A5J1T:1:1119:19135:6219",2,"DBLa0.3",2.2e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19207:15526",2,"DBLa0.1",2.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19275:18760",4,"DBLa0.8",2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19291:4395",5,"DBLa0.17",2e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19296:15780",2,"DBLa1.8",5.9e-56,"A"
"M00595:42:000000000-A5J1T:1:1119:19310:16642",3,"DBLa0.8",7.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19405:18444",2,"DBLa0.8",1.5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19417:20560",3,"DBLa0.5",1.5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19449:13095",2,"DBLa0.11",3.2e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19577:17929",5,"DBLa0.9",4e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19646:19732",2,"DBLa0.8",7.8e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19669:10950",2,"DBLa1.8",3.7e-56,"A"
"M00595:42:000000000-A5J1T:1:1119:19701:17660",4,"DBLa0.19",3.9e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:19972:17424",9,"DBLa1.8",2.7e-55,"A"
"M00595:42:000000000-A5J1T:1:1119:20006:2936",5,"DBLa0.19",1e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:20046:7348",4,"DBLa0.3",1.4e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1119:20198:15657",2,"DBLa0.11",6.6e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:20209:9447",2,"DBLa0.5",1.2e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1119:20232:21281",22,"DBLa1.4",4.4e-49,"A"
"M00595:42:000000000-A5J1T:1:1119:20431:9186",2,"DBLa0.5",1.3e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1119:20438:16080",2,"DBLa0.4",2.7e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1119:20622:11175",24,"DBLa0.12",1.6e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1119:20794:15139",26,"DBLa1.4",1.2e-45,"A"
"M00595:42:000000000-A5J1T:1:1119:20882:2222",2,"DBLa0.15",9.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:21078:19160",20,"DBLa0.11",2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:21227:18514",2,"DBLa0.17",7.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:21489:18305",2,"DBLa0.23",3e-42,"B/C"
"M00595:42:000000000-A5J1T:1:1119:21659:5336",2,"DBLa0.10",4.2e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1119:21723:13064",2,"DBLa0.8",2.2e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1119:21809:8581",3,"DBLa1.8",1.8e-57,"A"
"M00595:42:000000000-A5J1T:1:1119:22087:11681",2,"DBLa0.11",3e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1119:22156:17021",2,"DBLa0.11",2.7e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1119:22418:16471",3,"DBLa0.1",1.2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:22584:17960",8,"DBLa1.8",1.4e-55,"A"
"M00595:42:000000000-A5J1T:1:1119:22902:17844",3,"DBLa0.8",8.1e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1119:22945:17337",16,"DBLa1.8",2.6e-52,"A"
"M00595:42:000000000-A5J1T:1:1119:23148:7728",2,"DBLa0.1",5.8e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1119:23225:11671",2,"DBLa0.3",5.4e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1119:23234:8067",3,"DBLa1.8",3.6e-52,"A"
"M00595:42:000000000-A5J1T:1:1119:23453:21844",2,"DBLa0.11",1.1e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:23501:13629",2,"DBLa0.5",1.6e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:23842:9227",2,"DBLa0.1",4.7e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24013:18005",3,"DBLa0.8",3.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24015:6316",6,"DBLa0.12",7.2e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24134:18990",2,"DBLa0.1",2.1e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24183:20104",2,"DBLa0.3",6.5e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24307:10357",2,"DBLa0.12",5.9e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24342:20162",2,"DBLa0.5",3.7e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24360:19849",3,"DBLa0.11",1.9e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24428:12396",2,"DBLa0.3",3.8e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24782:15753",2,"DBLa0.24",7.8e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1119:24895:14354",2,"DBLa0.11",2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:25077:12561",3,"DBLa0.15",3.5e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1119:25534:7071",2,"DBLa0.5",7.9e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:25574:9572",2,"DBLa0.4",1.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:25860:15780",2,"DBLa1.5",2.8e-48,"A"
"M00595:42:000000000-A5J1T:1:1119:25981:10130",2,"DBLa0.1",3.5e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:26071:13519",6,"DBLa0.19",1.5e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1119:26109:12633",2,"DBLa0.8",5.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1119:26165:17238",2,"DBLa0.1",2.7e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:26461:10846",3,"DBLa0.9",4.8e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1119:28208:13235",3,"DBLa0.3",3e-39,"B/C"
"M00595:42:000000000-A5J1T:1:1119:28332:17163",2,"DBLa0.8",4.2e-33,"B/C"
"M00595:42:000000000-A5J1T:1:1119:28749:9788",2,"DBLa0.24",9.5e-33,"B/C"
"M00595:42:000000000-A5J1T:1:1119:4067:5792",7,"DBLa0.3",6.6e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:4388:11537",2,"DBLa0.5",6.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:5154:7981",2,"DBLa0.1",6.8e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:5202:14785",2,"DBLa0.11",1.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:5207:20608",4,"DBLa0.9",5.8e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:5300:13218",3,"DBLa0.20",4.5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1119:5371:18755",2,"DBLa0.5",9.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:5673:14963",2,"DBLa0.24",2e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:5900:14170",5,"DBLa0.1",4.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1119:5930:13186",3,"DBLa0.4",8.7e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1119:6217:19261",2,"DBLa0.8",1.9e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1119:6282:15805",2,"DBLa0.8",7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1119:6782:19934",3,"DBLa0.8",1.3e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1119:7043:8421",2,"DBLa0.8",7.4e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1119:7074:11192",3,"DBLa0.8",5.4e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:7212:16616",4,"DBLa0.15",4.7e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1119:7339:9275",2,"DBLa0.9",4e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1119:7645:3396",2,"DBLa1.2",4.3e-53,"A"
"M00595:42:000000000-A5J1T:1:1119:7692:11031",3,"DBLa1.8",1e-51,"A"
"M00595:42:000000000-A5J1T:1:1119:8019:11607",2,"DBLa0.9",2.6e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:8083:13542",3,"DBLa0.5",4.7e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1119:8083:3573",2,"DBLa0.19",1.3e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1119:8276:2037",3,"DBLa0.6",6.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:8281:9863",5,"DBLa0.5",2.6e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1119:8355:18302",3,"DBLa0.17",2.3e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1119:8455:19376",2,"DBLa0.16",1.1e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1119:8484:12981",2,"DBLa0.5",1e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1119:8998:19825",2,"DBLa0.3",2.4e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1119:9096:11542",2,"DBLa0.5",2e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1119:9189:9851",2,"DBLa0.11",2.4e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1119:9693:13845",3,"DBLa0.9",8.8e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1119:9745:20585",2,"DBLa0.8",3.3e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2101:10141:12886",2,"DBLa0.1",7e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2101:10674:15331",2,"DBLa0.11",3.9e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2101:10791:5272",3,"DBLa0.12",3.8e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2101:11212:11137",2,"DBLa0.1",1e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2101:11342:14475",2,"DBLa0.19",1.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2101:11558:16978",12,"DBLa0.3",8.6e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2101:11826:3411",17,"DBLa1.8",1.1e-58,"A"
"M00595:42:000000000-A5J1T:1:2101:12266:5855",4,"DBLa0.6",6.9e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2101:12567:19154",2,"DBLa0.1",4.4e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2101:12580:14810",5,"DBLa1.1",1.7e-49,"A"
"M00595:42:000000000-A5J1T:1:2101:12661:22308",5,"DBLa1.8",1.4e-56,"A"
"M00595:42:000000000-A5J1T:1:2101:12969:9692",5,"DBLa0.18",1.4e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2101:12990:12975",2,"DBLa0.7",1.7e-42,"B/C"
"M00595:42:000000000-A5J1T:1:2101:13160:4090",2,"DBLa0.5",9.7e-53,"B/C"
